variable_names,gqtotals
variable_categories,1
geo,
4013116718,55
4013116719,6
4013116720,0
4013116721,0
4013116725,0
4013116727,0
4013116728,0
4013116729,0
4013116730,0
4013116731,0
4013116732,0
4013116733,0
4013116800,0
4013116900,70
4013117000,9
4013117100,224
4013117200,0
4013117300,21
4013216806,13
4013216807,0
4013216809,12
4013216810,0
4013216813,5
4013216816,131
4013216818,35
4013216819,26
4013216820,0
4013216821,5
4013216822,38
4013216826,414
4013216829,0
4013216830,118
4013216831,24
4013216832,0
4013216833,0
4013216834,9
4013216835,8
4013216836,38
4013216837,0
4013216838,14
4013216839,5
4013216840,22
4013216841,10
4013216842,16
4013216843,0
4013216844,76
4013216845,0
4013216846,0
4013216847,0
4013216848,11
4013216849,65
4013216850,0
4013216851,0
4013216852,0
4013216853,21
4013216901,0
4013216902,9
4013217001,9
4013217002,25
4013217101,0
4013217102,20
4013217201,0
4013217203,0
4013217204,0
4013217300,0
4013217400,25
4013217501,0
4013217502,0
4013217600,123
4013217700,13
4013217800,0
4013217900,22
4013218000,139
4013218100,0
4013218200,66
4013218300,159
4013318400,11
4013318501,0
4013318700,2459
4013318800,0
4013318900,7
4013319000,6335
4013319101,541
4013319103,18
4013319104,0
4013319201,186
4013319202,5
4013319300,20
4013319401,11
4013319402,57
4013319403,20
4013319404,210
4013319500,36
4013319600,58
4013319703,287
4013319704,0
4013319705,11
4013319706,0
4013319800,3
4013319902,121
4013319903,5
4013319904,56
4013319905,22
4013319906,0
4013319907,0
4013319908,14
4013319909,5
4013319910,0
4013320001,12
4013320002,0
4013320007,0
4013320100,0
4013420104,19
4013420105,45
4013420107,0
4013420108,0
4013420109,43
4013420110,0
4013420111,5
4013420112,0
4013420113,0
4013420114,0
4013420115,0
4013420116,0
4013420202,8
4013420206,9
4013420207,0
4013420208,45
4013420209,70
4013420210,15
4013420211,22
4013420212,26
4013420213,0
4013420214,14
4013420215,23
4013420216,5
4013420301,50
4013420302,71
4013420303,13
4013420304,48
4013420401,135
4013420402,22
4013420501,39
4013420503,14
4013420504,9
4013420602,16
4013420603,44
4013420604,5
4013420704,29
4013420705,35
4013420706,17
4013420707,28
4013420708,0
4013420709,34
4013420710,6
4013420800,37
4013420901,21
4013420902,40
4013421001,162
4013421002,2
4013421101,6
4013421102,58
4013421201,0
4013421202,8
4013421302,66
4013421303,120
4013421304,0
4013421400,197
4013421501,5
4013421502,19
4013421601,21
4013421602,6
4013421701,0
4013421702,0
4013421801,9
4013421802,42
4013421901,0
4013421902,64
4013422001,10
4013422002,144
4013422102,7
4013422103,0
4013422104,6
4013422105,0
4013422106,0
4013422107,0
4013422203,33
4013422204,0
4013422205,0
4013422209,17
4013422210,29
4013422211,28
4013422212,28
4013422213,9
4013422215,18
4013422216,31
4013422217,34
4013422218,25
4013422219,0
4013422220,22
4013422221,14
4013422222,20
4013422301,100
4013422302,14
4013422304,0
4013422305,16
4013422307,6
4013422308,27
4013422309,0
4013422401,0
4013422402,0
4013422403,107
4013422404,0
4013422501,13
4013422502,34
4013422503,15
4013422504,7
4013422506,28
4013422507,0
4013422508,25
4013422509,7
4013422510,16
4013422511,0
4013422512,26
4013422513,60
4013422514,9
4013422606,45
4013422607,131
4013422609,188
4013422610,0
4013422615,12
4013422616,1
4013422617,26
4013422618,0
4013422620,0
4013422621,0
4013422622,0
4013422623,5
4013422624,85
4013422625,288
4013422626,215
4013422627,0
4013422628,23
4013422629,5
4013422630,0
4013422631,17
4013422632,7
4013422633,0
4013422634,0
4013422635,0
4013422636,0
4013422637,42
4013422638,11
4013422639,0
4013422640,6
4013422641,5
4013422642,5
4013422643,7
4013422644,14
4013422646,0
4013522800,348
4013522901,18
4013522903,57
4013522904,0
4013523002,5
4013523003,24
4013523005,37
4013523006,7
4013523102,0
4013523103,75
4013523104,34
4013610000,1323
4013610100,0
4013610200,0
4013610300,0
4013610400,0
4013610500,0
4013610600,5
4013610700,88
4013610800,10
4013610900,13
4013611000,12
4013611100,0
4013611200,26
4013611300,22
4013611400,0
4013611500,4
4013611600,0
4013611700,0
4013611800,0
4013611900,203
4013612000,0
4013612200,0
4013612300,41
4013612400,0
4013612500,0
4013612600,0
4013612700,11
4013612800,0
4013612900,5
4013613000,6
4013613100,0
4013613200,0
4013613300,14
4013613400,35
4013613500,22
4013613600,143
4013613700,36
4013613800,29
4013613900,50
4013614000,72
4013614100,53
4013614200,32
4013614300,9
4013614400,6
4013614500,19
4013614600,2
4013614700,0
4013614800,16
4013614900,15
4013615000,55
4013615100,0
4013615200,22
4013615300,6
4013615400,98
4013615500,0
4013615600,14
4013615700,10
4013615800,12
4013615900,37
4013616000,469
4013616100,11
4013616200,15
4013616300,6
4013616400,18
4013616500,10
4013616600,24
4013616700,11
4013616800,6
4013616900,0
4013617000,0
4013617100,34
4013617200,5
4013617300,5
4013617400,98
4013617500,28
4013617600,78
4013617700,36
4013617800,50
4013617900,33
4013618000,31
4013618100,23
4013618200,28
4013618300,9
4013618400,9
4013618500,16
4013618600,22
4013618700,0
4013618800,0
4013618900,16
4013619000,0
4013619100,0
4013619200,0
4013619300,0
4013619400,0
4013619500,11
4013619600,0
4013619700,5
4013619800,14
4013619900,125
4013723303,0
4013723304,0
4013723305,21
4013723306,5514
4013723307,0
4013723308,0
4013810000,0
4013810100,47
4013810200,0
4013810300,43
4013810400,25
4013810500,11
4013810600,18
4013810700,17
4013810800,25
4013810900,6
4013811000,0
4013811100,0
4013811200,0
4013811300,6
4013811400,57
4013811500,0
4013811600,19
4013811700,13
4013811800,7
4013811900,0
4013812000,0
4013812100,9
4013812200,64
4013812300,0
4013812400,7
4013812500,0
4013812600,9
4013812700,16
4013812800,10
4013812900,5
4013813000,1
4013813100,0
4013813200,9
4013813300,14
4013813400,20
4013813500,0
4013813600,9
4013813700,0
4013813800,0
4013813900,0
4013814000,0
4013814100,0
4013814200,0
4013814300,5
4013814400,10
4013814500,13
4013814600,0
4013814700,0
4013814800,0
4013814900,0
4013815000,16
4013815100,0
4013815200,7
4013815300,13
4013815400,0
4013815500,0
4013815600,0
4013815700,9
4013815800,0
4013815900,14
4013816000,16
4013816100,14
4013816200,0
4013816300,0
4013816400,0
4013816500,7
4013816600,7
4013816700,7
4013816800,3
4013816900,0
4013817000,5
4013817100,0
4013817200,7
4013817300,0
4013817400,0
4013817500,0
4013817600,0
4013940700,0
4013941000,15
4013941100,0
4013941200,0
4013941300,5
4013980100,0
4013980400,12
4013980500,0
4013980600,0
4013980700,0
