variable_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,page,empl,empl,empl,empl
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,10,1,2,3,4
geo,,,,,,,,,,,,,,,,,
4013061033,6698,3341,3357,569,1179,301,620,1064,1004,697,714,426,124,3098,252,1600,1748
4013061034,7404,3870,3534,589,1527,458,456,846,1305,907,826,399,91,3337,251,1700,2116
4013061035,7428,3715,3713,551,1308,570,383,893,1286,844,784,497,312,3597,160,1812,1859
4013061036,3453,1542,1911,381,792,148,152,443,677,394,262,137,67,1471,104,705,1173
4013061037,5075,2482,2593,299,1300,254,220,645,1025,486,529,234,83,2407,128,941,1599
4013061038,4723,2207,2516,335,1018,309,149,637,744,757,413,311,50,2207,218,945,1353
4013061039,4496,2253,2243,240,1160,242,234,551,624,516,536,309,84,1902,153,1041,1400
4013061040,4409,2340,2069,281,709,363,338,1003,573,628,328,113,73,2363,108,948,990
4013061041,4548,1970,2578,426,998,308,231,813,716,560,315,156,25,2090,183,851,1424
4013061042,2091,1022,1069,180,269,33,35,219,157,146,297,490,265,584,60,998,449
4013061043,2678,1349,1329,186,603,192,244,366,399,430,203,47,8,1335,117,437,789
4013061044,7644,3191,4453,572,1721,510,344,1174,1264,922,647,325,165,3500,267,1584,2293
4013061045,5829,3103,2726,270,864,348,246,456,681,856,1092,547,469,2458,94,2143,1134
4013061046,5832,2771,3061,372,1173,404,369,661,913,1048,495,350,47,2807,113,1367,1545
4013061047,3528,1696,1832,260,691,235,155,343,681,439,481,137,106,1767,96,714,951
4013061100,2693,1553,1140,265,337,378,755,468,270,55,114,51,0,1534,28,529,602
4013061200,6227,3270,2957,459,1275,408,646,1001,776,766,491,207,198,2629,268,1596,1734
4013061300,1936,957,979,106,206,68,240,268,208,324,316,121,79,989,40,595,312
4013061401,1981,1023,958,179,414,145,215,252,172,253,248,57,46,738,196,454,593
4013061402,5517,2706,2811,562,1209,420,432,773,744,579,467,185,146,1921,192,1633,1771
4013071503,4857,1933,2924,0,15,0,0,22,38,87,694,1265,2736,644,43,4155,15
4013071504,3440,1522,1918,0,0,0,0,32,62,85,484,1326,1451,413,79,2948,0
4013071505,6713,2727,3986,57,123,30,178,229,229,464,1010,2000,2393,1502,88,4943,180
4013071506,4206,1816,2390,0,1,34,19,32,50,161,739,1642,1528,654,11,3540,1
4013071509,6287,2868,3419,265,898,388,246,909,693,868,888,858,274,2965,122,2037,1163
4013071510,4080,2058,2022,156,623,212,313,367,461,566,762,267,353,2045,110,1146,779
4013071511,3689,1911,1778,121,533,247,199,656,486,505,389,221,332,1913,134,988,654
4013071512,6355,3099,3256,115,1291,297,444,594,1055,1321,685,374,179,3534,249,1166,1406
4013071513,1603,807,796,48,224,122,103,118,178,269,235,193,113,794,33,504,272
4013071514,4213,1950,2263,307,677,318,248,442,519,738,509,344,111,2336,130,763,984
4013071515,3494,1873,1621,118,373,132,258,385,198,599,311,452,668,1459,159,1385,491
4013071516,3085,1245,1840,148,33,82,328,298,133,170,390,504,999,1153,49,1702,181
4013071517,3911,1659,2252,336,538,155,227,755,496,539,506,254,105,2055,147,835,874
4013071600,3773,1748,2025,213,444,255,132,553,409,509,344,439,475,1240,364,1512,657
4013071701,2944,1445,1499,276,608,157,191,525,421,260,193,175,138,1163,109,788,884
4013071702,2923,1106,1817,0,0,15,0,0,0,195,664,792,1257,344,100,2479,0
4013071801,4755,2022,2733,22,48,11,7,126,79,449,800,1602,1611,957,257,3471,70
4013071802,3454,1606,1848,0,0,0,0,23,22,210,704,991,1504,679,70,2705,0
4013071903,6730,3771,2959,355,1324,202,371,1087,833,683,974,509,392,3391,137,1523,1679
4013071906,5513,2660,2853,428,1040,388,426,675,638,784,635,338,161,2649,233,1163,1468
4013071909,3995,1791,2204,353,544,144,252,487,463,541,415,396,400,1770,142,1186,897
4013071910,7021,3694,3327,492,1061,425,676,1074,874,689,874,569,287,3287,538,1643,1553
4013071911,3407,1758,1649,288,618,202,275,577,426,460,318,132,111,1783,184,534,906
4013071912,3146,1590,1556,163,675,52,307,451,469,358,464,150,57,1312,214,782,838
4013071913,4979,2246,2733,433,996,404,330,596,682,613,387,345,193,2053,175,1322,1429
4013071914,3246,1634,1612,242,604,177,286,578,411,449,278,157,64,1449,139,812,846
4013071915,3462,1742,1720,336,629,83,236,495,309,529,484,247,114,1231,165,1101,965
4013082002,6566,3501,3065,593,1166,400,796,939,912,691,570,392,107,3394,291,1122,1759
4013082007,3978,2025,1953,339,560,202,481,551,556,509,381,237,162,1911,159,1009,899
4013082008,5365,2656,2709,537,1031,344,411,873,765,660,390,202,152,2187,309,1301,1568
4013082009,5443,2644,2799,464,1633,301,383,796,733,569,348,168,48,1997,172,1177,2097
4013082010,4308,2312,1996,244,995,246,651,736,363,454,349,174,96,1810,225,1034,1239
4013082012,6419,3125,3294,572,1162,444,408,1110,1155,667,580,276,45,3411,190,1084,1734
4013082016,2726,1351,1375,187,630,227,199,362,450,271,214,125,61,1296,89,524,817
4013082017,4895,2500,2395,553,889,301,591,1024,592,536,258,122,29,2330,259,864,1442
4013082018,5680,3024,2656,544,1194,516,456,987,861,630,316,142,34,2558,266,1118,1738
4013082019,2736,1591,1145,94,314,190,227,395,303,507,351,259,96,1469,99,760,408
4013082020,3976,1919,2057,195,444,292,257,500,580,660,614,333,101,2386,146,805,639
4013082021,1910,1035,875,118,333,126,166,302,252,340,144,101,28,1014,97,348,451
4013082022,4719,2310,2409,355,1016,248,287,888,726,589,319,194,97,2351,114,883,1371
4013082023,5100,2500,2600,424,832,408,369,584,828,744,524,310,77,2667,114,1063,1256
4013082024,4555,2355,2200,381,899,239,416,743,710,568,237,238,124,2085,156,1034,1280
4013082025,2576,1187,1389,294,426,107,294,470,328,255,234,151,17,1203,87,566,720
4013082026,5545,2704,2841,414,1059,295,467,951,841,695,483,255,85,2518,194,1360,1473
4013082027,4432,2134,2298,354,885,415,390,827,822,357,265,89,28,2218,142,833,1239
4013082028,4472,2148,2324,268,706,411,539,490,606,735,423,233,61,2062,215,1221,974
4013082203,10161,4929,5232,1189,2123,683,722,2418,1412,757,615,180,62,4950,238,1661,3312
4013082204,6798,3315,3483,805,1482,578,592,1448,785,404,516,110,78,2854,223,1434,2287
4013082205,5761,2636,3125,726,1085,260,410,1040,883,768,368,158,63,2651,223,1076,1811
4013082206,3979,1933,2046,429,752,344,433,649,602,437,179,136,18,1871,111,816,1181
4013082207,3019,1632,1387,216,778,238,198,496,376,342,176,107,92,1109,145,771,994
4013082208,3010,1442,1568,255,664,172,155,384,493,368,238,170,111,1156,61,874,919
4013082209,2745,1478,1267,138,423,56,130,496,253,402,402,260,185,1054,50,1080,561
4013082210,5148,2686,2462,435,1162,358,373,884,984,495,232,135,90,2116,341,1094,1597
4013082211,5335,2388,2947,487,1338,224,399,785,889,623,352,122,116,2509,88,913,1825
