variable_names,ptotals,psex,psex,page,page,page,page,page,page,page,page,page,page,empl,empl,empl,empl
variable_categories,1,1,2,1,2,3,4,5,6,7,8,9,10,1,2,3,4
geo,,,,,,,,,,,,,,,,,
4013108602,5303,2489,2814,318,546,325,260,1265,977,721,415,253,223,2782,290,1367,864
4013108802,1960,1152,808,125,111,62,99,458,361,299,252,122,71,1217,75,432,236
4013108901,2667,1422,1245,143,414,108,125,392,495,344,432,157,57,1343,142,625,557
4013108902,5260,2721,2539,176,916,429,546,810,686,718,627,282,70,2092,321,1755,1092
4013109001,4854,2608,2246,580,1155,271,385,910,640,572,199,81,61,1845,201,1073,1735
4013109002,4206,2200,2006,323,919,239,294,923,555,470,299,92,92,1848,170,946,1242
4013109003,5801,3060,2741,778,1395,260,539,1018,823,457,358,153,20,2242,314,1072,2173
4013109101,3723,2019,1704,270,774,247,351,482,712,351,259,182,95,1520,162,997,1044
4013109102,5702,2850,2852,492,1029,520,573,838,850,775,258,254,113,2594,159,1428,1521
4013109200,3333,1818,1515,289,486,246,318,542,469,406,398,88,91,1119,129,1310,775
4013109300,5421,2664,2757,385,1385,478,561,724,728,548,398,141,73,1807,249,1595,1770
4013109400,8570,4433,4137,756,1778,474,710,1416,821,1086,939,241,349,2771,322,2943,2534
4013109500,5614,2797,2817,302,1085,374,650,582,749,874,489,248,261,2436,284,1507,1387
4013109601,5866,2674,3192,689,1223,471,409,779,1064,527,361,215,128,2195,227,1532,1912
4013109602,7032,3315,3717,1051,1435,481,661,1222,764,723,360,200,135,2541,183,1822,2486
4013109603,5642,2989,2653,554,1322,353,588,866,821,497,372,119,150,2077,344,1345,1876
4013109604,3993,2000,1993,425,858,267,391,650,403,454,225,177,143,1435,137,1138,1283
4013109701,9106,4284,4822,1013,2336,717,886,1131,1259,1001,501,204,58,3257,446,2054,3349
4013109702,6070,2899,3171,520,1396,746,467,845,693,617,416,131,239,1916,280,1958,1916
4013109703,3111,1572,1539,201,614,330,326,314,609,369,235,84,29,1236,177,883,815
4013109704,2953,1588,1365,229,671,180,293,473,401,349,184,129,44,1152,77,824,900
4013109705,2397,1234,1163,263,388,163,266,425,302,222,218,103,47,920,116,710,651
4013109801,4917,2410,2507,531,1199,340,630,637,570,499,294,114,103,1696,176,1315,1730
4013109802,5355,2759,2596,357,1087,580,484,570,670,757,439,164,247,1967,166,1778,1444
4013109900,7808,3937,3871,934,1813,668,741,1019,960,868,307,377,121,2238,245,2578,2747
4013110001,4182,1903,2279,276,757,451,396,431,626,515,395,180,155,1390,126,1633,1033
4013110002,3851,1805,2046,393,618,362,348,518,624,525,277,135,51,1185,114,1541,1011
4013110100,6180,3085,3095,475,1499,428,512,874,787,762,426,261,156,1921,84,2201,1974
4013110400,5062,2657,2405,244,532,268,302,685,700,960,796,329,246,2650,148,1488,776
4013110501,3139,1935,1204,100,124,54,339,862,619,606,176,185,74,2176,157,582,224
4013110502,2520,1415,1105,105,148,38,186,738,418,311,252,229,95,1620,61,586,253
4013110600,4865,2408,2457,152,594,334,202,1082,786,584,609,290,232,2651,192,1276,746
4013110701,2677,1358,1319,167,368,87,282,626,339,348,257,173,30,1284,192,666,535
4013110702,4155,2250,1905,202,807,142,193,793,694,656,357,162,149,1910,170,1066,1009
4013110801,5663,2545,3118,300,967,257,418,914,881,669,897,230,130,2529,566,1301,1267
4013110802,2321,1121,1200,147,168,86,86,469,311,339,395,131,189,1215,81,710,315
4013110901,3650,1916,1734,132,483,168,294,538,526,518,443,264,284,1652,134,1249,615
4013110902,5406,2748,2658,586,783,138,390,1224,624,734,559,247,121,2515,385,1137,1369
4013111000,4522,1971,2551,258,411,291,346,619,680,849,423,277,368,2564,45,1244,669
4013111100,4176,2225,1951,354,437,172,193,676,662,524,628,266,264,2236,129,1020,791
4013111201,6155,3182,2973,444,974,262,504,1296,743,785,730,216,201,2933,201,1603,1418
4013111202,1925,1043,882,179,361,42,254,454,254,233,99,38,11,1073,83,229,540
4013111203,1650,867,783,184,191,54,252,420,212,240,61,27,9,886,87,302,375
4013111204,2199,1260,939,109,115,85,343,692,362,251,205,29,8,1712,117,146,224
4013111300,6027,3586,2441,343,569,359,732,1443,676,707,583,350,265,3710,338,1067,912
4013111401,4455,2290,2165,358,497,328,265,977,513,884,279,243,111,2225,344,1031,855
4013111402,4502,2296,2206,544,595,238,270,836,600,634,370,287,128,1937,124,1302,1139
4013111501,1973,876,1097,276,401,122,153,223,316,244,120,86,32,826,96,374,677
4013111502,5839,3239,2600,384,898,368,527,782,923,795,614,315,233,2594,268,1695,1282
4013111601,3281,1730,1551,238,357,197,331,461,620,443,438,79,117,1481,216,989,595
4013111602,4976,2727,2249,353,1028,322,317,937,870,463,324,241,121,2435,154,1006,1381
4013111700,6347,3420,2927,412,907,195,394,1320,820,1023,753,392,131,3105,92,1831,1319
4013111800,3852,1967,1885,238,196,68,123,646,648,730,699,336,168,2516,85,817,434
4013111900,2293,1201,1092,132,286,30,103,415,286,298,387,274,82,1431,0,444,418
4013112100,3703,1827,1876,399,795,327,240,523,401,513,271,148,86,1031,105,1373,1194
4013112201,4213,2166,2047,354,778,386,425,467,629,608,274,140,152,1428,89,1564,1132
4013112202,4086,2121,1965,190,653,209,296,373,513,482,640,452,278,1324,175,1744,843
4013112301,5340,2492,2848,386,1175,307,495,877,712,609,354,267,158,2192,138,1449,1561
4013112302,7616,3712,3904,837,1562,464,632,1146,1125,925,406,355,164,2572,344,2301,2399
4013112401,6608,3071,3537,510,1429,640,712,749,963,737,475,259,134,2871,133,1665,1939
4013112402,5834,2734,3100,484,1425,523,517,854,730,580,414,195,112,2191,265,1469,1909
4013112502,6085,3120,2965,478,1364,601,526,737,838,636,511,296,98,2382,302,1559,1842
4013112503,9162,4511,4651,856,2081,629,772,1155,1286,1054,808,356,165,3348,453,2424,2937
4013112504,4456,2078,2378,538,952,358,403,783,551,518,199,111,43,1786,219,961,1490
4013112505,8862,4125,4737,1246,1625,687,948,1862,977,758,499,188,72,3703,380,1908,2871
4013112507,2790,1544,1246,361,813,171,181,526,362,188,125,33,30,721,241,654,1174
4013112508,2114,1061,1053,117,455,182,152,307,232,348,169,77,75,823,74,645,572
4013112509,10508,4538,5970,1603,2167,702,1432,2149,1290,645,387,7,126,4459,488,1791,3770
4013112510,5123,2382,2741,382,1291,302,375,1024,665,561,349,84,90,2233,131,1086,1673
4013112511,9075,4190,4885,710,2077,748,765,1287,1480,900,623,299,186,3785,313,2190,2787
4013112512,1815,1022,793,274,323,102,204,491,135,174,73,17,22,776,127,315,597
4013112513,9247,4408,4839,646,2246,695,856,934,1930,820,714,344,62,4127,372,1856,2892
4013112514,4697,2306,2391,506,716,310,511,999,673,421,394,158,9,2284,277,914,1222
4013112601,2896,1496,1400,368,613,265,198,363,400,294,180,163,52,896,62,957,981
4013112602,7020,3524,3496,778,1891,522,373,928,1170,641,403,143,171,1797,81,2473,2669
4013112700,6381,3355,3026,546,1298,447,698,1208,776,598,452,260,98,1872,198,2467,1844
4013112900,4824,2369,2455,171,898,211,220,846,865,779,506,167,161,2015,236,1504,1069
4013113000,2043,948,1095,21,72,34,214,582,364,353,184,153,66,1262,159,529,93
4013113100,3051,1501,1550,20,98,469,559,534,331,343,358,199,140,1627,81,1225,118
4013113201,3018,1510,1508,363,661,230,191,555,400,264,129,152,73,912,286,796,1024
4013113202,2129,1249,880,169,354,112,232,409,324,277,113,77,62,828,126,652,523
4013113203,2778,1656,1122,207,405,103,228,557,487,292,308,152,39,1151,205,810,612
4013113300,5250,2603,2647,368,1422,285,389,612,645,544,476,297,212,1437,267,1756,1790
4013113400,286,258,28,12,2,4,34,86,75,55,18,0,0,0,0,272,14
4013113501,4982,2539,2443,456,922,415,325,745,880,629,280,211,119,2006,254,1344,1378
4013113502,3033,1448,1585,425,785,165,264,574,308,234,110,110,58,1155,130,538,1210
4013113601,4492,2066,2426,405,740,256,742,1236,336,421,276,80,0,2580,84,683,1145
4013113602,3955,1921,2034,354,728,385,655,456,591,402,236,64,84,1466,325,1082,1082
4013113700,8551,4505,4046,773,1289,528,1019,1966,1084,924,602,236,130,4341,331,1817,2062
4013113801,1936,1009,927,97,189,101,217,689,318,157,99,27,42,1171,95,384,286
4013113802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4013113900,976,412,564,144,271,49,90,167,175,31,18,16,15,318,97,146,415
4013114000,1953,988,965,24,283,55,261,427,215,191,266,156,75,865,133,648,307
4013114100,1893,1570,323,26,29,46,249,712,318,295,186,26,6,570,55,1213,55
4013114200,1471,878,593,78,236,68,128,184,230,263,149,90,45,506,77,574,314
4013114301,665,451,214,9,12,20,54,157,140,137,96,40,0,175,165,304,21
4013114302,3162,1476,1686,406,676,166,450,293,294,332,251,193,101,749,261,1070,1082
4013114401,1800,932,868,143,349,98,142,215,263,248,217,87,38,545,36,727,492
4013114402,1918,1005,913,136,329,144,159,313,261,223,186,126,41,480,71,902,465
4013114500,3609,1939,1670,334,918,122,268,546,409,449,301,198,64,1020,139,1198,1252
4013114600,1639,735,904,135,273,116,219,221,186,218,146,93,32,519,23,689,408
4013114703,4739,4218,521,14,160,254,868,1507,895,608,350,61,22,302,106,4157,174
4013114800,3870,2022,1848,393,807,255,261,578,582,450,289,140,115,1162,188,1320,1200
4013114900,2364,1325,1039,195,262,60,218,368,236,287,207,175,356,684,59,1164,457
4013115200,2683,1400,1283,293,533,136,259,641,276,246,186,81,32,1051,103,703,826
4013115300,3122,1597,1525,234,768,262,202,422,308,246,424,186,70,1004,84,1032,1002
4013115400,2445,1184,1261,225,510,155,275,280,294,327,188,142,49,839,117,754,735
4013115500,3699,1830,1869,330,720,277,306,449,485,420,305,278,129,1245,136,1268,1050
4013115600,4719,2212,2507,730,953,369,396,656,539,474,268,194,140,1665,203,1168,1683
4013115700,7249,3628,3621,729,1751,656,491,1068,852,723,557,284,138,2657,281,1831,2480
4013115801,4539,2213,2326,738,724,301,505,560,577,577,281,184,92,1655,245,1177,1462
4013115802,3746,1771,1975,328,694,268,310,505,497,430,384,223,107,1264,93,1367,1022
4013115900,5731,2990,2741,672,938,301,581,1264,451,588,532,274,130,1912,349,1860,1610
4013116000,5737,3061,2676,362,972,307,337,855,816,738,651,385,314,2009,266,2128,1334
4013116100,3612,1585,2027,336,810,220,468,575,397,461,207,65,73,1369,198,899,1146
4013116202,5723,3154,2569,496,1274,410,411,831,777,677,589,204,54,2187,471,1295,1770
4013116203,4851,2229,2622,428,854,279,455,1072,630,429,341,281,82,2409,234,926,1282
4013116204,3689,1689,2000,187,579,300,198,655,528,593,325,251,73,1621,192,1110,766
4013116205,4779,2414,2365,356,996,189,475,1030,707,468,368,140,50,2132,310,985,1352
4013116300,7075,3443,3632,585,1386,352,495,897,1021,1084,623,448,184,2745,503,1856,1971
4013116400,5688,2883,2805,381,1209,468,468,805,772,677,432,216,260,2062,457,1579,1590
4013116500,5777,3061,2716,550,1165,469,325,1161,660,453,501,418,75,1804,313,1945,1715
4013116602,8482,3991,4491,712,2074,622,871,1530,1050,694,571,280,78,3211,323,2162,2786
4013116603,6642,3270,3372,550,1696,331,336,865,1424,504,643,141,152,2808,250,1338,2246
4013116604,4964,2428,2536,578,732,475,490,519,930,673,318,189,60,2088,198,1368,1310
4013116605,6437,3056,3381,714,1427,432,236,1367,910,712,308,194,137,2789,292,1215,2141
4013116606,6696,3411,3285,591,1732,297,393,1342,800,805,392,169,175,2742,185,1446,2323
4013116607,2992,1350,1642,346,599,158,176,723,396,272,206,110,6,1439,107,501,945
4013116608,3797,1853,1944,479,762,158,206,729,671,427,235,80,50,1756,124,676,1241
4013116609,4425,2101,2324,374,951,260,207,536,796,550,400,289,62,2207,156,737,1325
4013116610,5448,2699,2749,654,1183,209,162,1077,729,638,512,225,59,2548,156,907,1837
4013116611,3709,1912,1797,180,765,197,271,423,564,508,423,199,179,1640,179,945,945
4013116612,5588,2610,2978,514,1169,369,262,651,1016,797,418,287,105,2680,193,1032,1683
4013116613,7079,3488,3591,877,925,255,464,986,1456,763,999,305,49,3667,150,1460,1802
4013116702,9389,5195,4194,875,1627,580,711,1542,1289,855,945,558,407,3785,210,2892,2502
4013116703,4736,2370,2366,241,743,184,394,689,640,672,528,408,237,2185,280,1287,984
4013116704,7392,3689,3703,490,826,234,496,1326,1113,888,1119,651,249,4173,266,1637,1316
4013116707,2837,1392,1445,92,335,77,159,437,423,414,550,261,89,1585,71,754,427
4013116708,5367,2456,2911,145,456,92,138,874,285,553,1065,698,1061,2371,239,2156,601
4013116709,1837,933,904,86,223,39,164,454,245,295,240,60,31,1233,37,258,309
4013116710,4747,2447,2300,174,788,271,140,333,687,841,860,447,206,2369,92,1324,962
4013116711,2123,926,1197,138,349,96,146,363,368,202,210,144,107,1175,50,411,487
4013116712,7205,3493,3712,818,1123,197,401,1429,1045,1171,634,182,205,3718,355,1191,1941
4013116713,6731,2998,3733,277,1063,439,482,694,924,1021,1133,495,203,3576,202,1613,1340
4013116714,3754,1869,1885,164,717,318,186,302,594,661,534,170,108,1903,128,842,881
4013116715,2139,1126,1013,93,257,133,80,211,371,422,350,125,97,1254,40,495,350
4013116717,4129,2052,2077,269,542,201,344,1246,665,409,297,156,0,2643,202,473,811
4013116718,2691,1314,1377,89,218,119,304,609,344,405,189,89,325,1626,53,705,307
4013116719,6694,3372,3322,421,1041,299,302,927,1254,960,870,309,311,3905,151,1176,1462
4013116720,4019,1869,2150,356,573,193,248,849,563,603,393,137,104,2396,61,633,929
4013116721,3478,1769,1709,258,439,236,236,447,532,612,443,168,107,1959,45,777,697
4013116725,4957,2112,2845,108,723,256,172,605,573,1148,756,477,139,2885,53,1188,831
4013116727,3824,1857,1967,102,677,224,165,232,612,867,603,259,83,2177,65,803,779
4013116728,4846,2375,2471,218,883,266,187,193,692,1062,1009,201,135,2618,79,1048,1101
4013116729,4296,2203,2093,151,801,150,197,265,509,954,889,271,109,2254,147,943,952
4013116730,1909,903,1006,138,339,81,123,166,325,367,231,94,45,1005,57,370,477
4013116731,3336,1517,1819,202,624,225,170,314,481,514,503,154,149,1790,44,676,826
4013116732,4182,2044,2138,459,770,164,293,315,895,400,520,179,187,1736,59,1158,1229
4013116733,355,183,172,5,42,19,11,12,65,129,43,20,9,212,19,77,47
4013116800,2666,1405,1261,179,383,125,230,311,450,284,337,189,178,1054,70,980,562
4013116900,2351,1178,1173,278,562,209,97,481,253,261,86,117,7,846,168,497,840
4013117000,5577,2595,2982,539,853,226,427,1098,760,442,663,356,213,2297,391,1497,1392
4013117100,2483,1373,1110,94,107,116,158,609,533,357,185,141,183,1543,120,619,201
4013117200,1166,589,577,80,295,101,84,161,156,119,114,43,13,336,110,345,375
4013117300,1191,547,644,179,301,68,89,101,120,204,60,58,11,215,51,445,480
4013216806,3244,1515,1729,83,287,71,111,517,505,379,404,502,385,1593,78,1203,370
4013216807,5275,2450,2825,221,729,159,113,299,712,728,945,773,596,2637,59,1629,950
4013216809,5191,2568,2623,168,777,388,193,364,463,882,882,567,507,2376,113,1757,945
4013216810,1353,582,771,30,37,25,70,218,160,164,195,247,207,792,45,449,67
4013216813,4160,2039,2121,48,338,19,365,452,357,381,744,988,468,2302,90,1382,386
4013216816,5954,2953,3001,233,924,318,207,200,782,832,960,889,609,2422,181,2194,1157
4013216818,7128,3317,3811,157,671,203,40,363,971,1152,1270,1274,1027,3224,129,2947,828
4013216819,6349,3044,3305,146,478,241,138,308,431,963,1397,1271,976,2783,123,2819,624
4013216820,4455,2051,2404,111,369,152,190,266,465,541,996,835,530,2173,209,1593,480
4013216821,5946,3024,2922,177,480,283,64,134,616,1014,1134,1524,520,2580,113,2596,657
4013216822,4227,2054,2173,18,342,161,24,138,396,508,970,1162,508,1885,78,1904,360
4013216826,4617,1946,2671,206,240,184,233,444,458,520,668,623,1041,2025,200,1946,446
4013216829,4921,2645,2276,76,229,325,99,156,308,850,986,1478,414,1963,134,2519,305
4013216830,2939,1228,1711,129,233,179,369,515,319,281,347,151,416,1738,68,771,362
4013216831,2962,1522,1440,95,407,184,133,101,286,553,507,494,202,1437,51,972,502
4013216832,1910,847,1063,37,104,19,19,177,179,134,274,319,648,741,13,1015,141
4013216833,4837,2358,2479,158,648,152,231,307,615,606,1019,648,453,2227,84,1720,806
4013216834,2081,972,1109,0,264,0,1,83,179,238,455,536,325,751,27,1039,264
4013216835,2488,1045,1443,52,165,35,109,387,201,444,419,370,306,1496,34,741,217
4013216836,3811,1890,1921,157,581,121,215,207,513,778,530,455,254,1855,119,1099,738
4013216837,5024,2042,2982,228,348,169,167,1198,748,593,809,518,246,3153,209,1086,576
4013216838,4776,2310,2466,220,575,223,243,374,741,926,781,432,261,2720,123,1138,795
4013216839,4036,1998,2038,260,498,218,159,221,534,743,714,313,376,1984,37,1257,758
4013216840,4856,2358,2498,184,653,226,125,199,567,774,938,786,404,2381,140,1498,837
4013216841,3597,1721,1876,200,595,107,50,171,432,703,453,417,469,1629,30,1143,795
4013216842,3774,1923,1851,241,800,206,105,164,619,666,446,392,135,1643,85,1005,1041
4013216843,3200,1593,1607,10,206,79,92,50,138,399,788,934,504,1277,73,1634,216
4013216844,3809,1762,2047,32,325,72,102,336,511,647,681,500,603,1718,196,1538,357
4013216845,2248,1025,1223,127,203,90,226,301,210,255,328,268,240,1160,52,706,330
4013216846,7211,3525,3686,316,1284,306,306,740,1247,1394,697,536,385,3747,251,1613,1600
4013216847,6954,3655,3299,449,1341,326,103,432,1197,1435,587,756,328,3247,158,1759,1790
4013216848,6189,3082,3107,197,739,463,316,300,463,1266,1406,818,221,3163,95,1995,936
4013216849,6377,3259,3118,192,966,449,290,169,678,1470,1016,828,319,2809,121,2289,1158
4013216850,4045,1931,2114,97,597,11,60,818,849,471,572,441,129,2495,74,782,694
4013216851,3776,1719,2057,102,480,163,148,107,197,732,816,671,360,1575,55,1564,582
4013216852,3248,1641,1607,71,221,68,220,453,645,549,424,324,273,2069,91,796,292
4013216853,4898,2297,2601,87,568,131,312,905,617,993,391,520,374,2993,110,1140,655
4013216901,2927,1327,1600,76,153,108,100,303,294,419,545,494,435,1392,61,1245,229
4013216902,3857,1811,2046,175,460,189,233,395,507,636,568,386,308,1988,127,1107,635
4013217001,4792,2117,2675,136,158,51,188,600,496,471,881,835,976,2415,107,1976,294
4013217002,5787,2852,2935,183,616,304,205,991,788,1064,715,445,476,3456,257,1275,799
4013217101,2552,1237,1315,43,308,19,195,491,431,252,238,265,310,1464,57,680,351
4013217102,2965,1481,1484,201,258,100,125,751,343,405,389,220,173,1703,51,752,459
4013217201,1491,724,767,64,49,38,301,479,134,118,95,151,62,940,106,332,113
4013217203,3652,1606,2046,89,95,20,237,676,330,325,517,596,767,1826,125,1517,184
4013217204,3531,1710,1821,168,417,103,445,972,486,293,239,199,209,2007,164,775,585
4013217300,3393,1804,1589,179,342,40,152,423,465,362,455,475,500,1664,35,1173,521
4013217400,3331,1649,1682,101,366,55,74,376,286,412,579,453,629,1579,54,1231,467
4013217501,4063,2002,2061,465,556,89,502,931,473,453,317,201,76,2088,80,874,1021
4013217502,2948,1429,1519,89,80,61,309,1107,389,418,187,193,115,2002,162,615,169
4013217600,5072,2631,2441,318,301,170,440,1219,1028,674,307,278,337,3033,274,1146,619
4013217700,5406,2708,2698,205,760,100,419,1182,676,721,501,337,505,3088,104,1249,965
4013217800,6871,3484,3387,469,868,184,394,1410,889,867,741,464,585,3484,139,1911,1337
4013217900,4237,2152,2085,113,208,146,577,872,486,446,565,456,368,2705,75,1136,321
4013218000,5765,3121,2644,204,655,228,435,1142,784,706,747,310,554,3264,51,1591,859
4013218100,2205,1003,1202,203,190,77,155,536,246,231,270,132,165,1232,79,501,393
4013218200,7909,3732,4177,609,1192,238,825,1383,1401,989,446,313,513,3918,401,1789,1801
4013218300,4337,2433,1904,179,183,91,181,832,732,570,656,482,431,2593,105,1277,362
4013318400,4778,2454,2324,244,570,246,872,1417,460,463,293,183,30,2812,129,1023,814
4013318501,3753,1747,2006,222,410,98,315,849,606,468,354,198,233,2113,121,887,632
4013318700,3340,2031,1309,11,17,1908,849,213,107,60,116,51,8,1323,154,1835,28
4013318800,6322,3518,2804,209,264,626,1674,1945,630,390,280,189,115,4425,146,1278,473
4013318900,6601,3890,2711,223,340,443,1693,1308,752,758,543,313,228,4357,289,1392,563
4013319000,8730,4018,4712,72,108,4483,2710,676,216,187,138,73,67,4031,521,3998,180
4013319101,3345,2124,1221,99,228,560,1548,488,223,102,97,0,0,1242,174,1602,327
4013319103,5243,3261,1982,68,103,517,2921,1053,280,106,88,76,31,2668,411,1993,171
4013319104,5824,3219,2605,187,256,221,2239,1686,474,447,167,102,45,2888,244,2249,443
4013319201,5546,2768,2778,375,658,448,1372,1401,436,365,208,203,80,3054,210,1249,1033
4013319202,3358,1814,1544,144,278,238,757,910,322,361,177,92,79,1734,130,1072,422
4013319300,2995,1329,1666,104,302,309,527,443,349,238,283,212,228,1444,169,976,406
4013319401,6437,3721,2716,185,659,283,922,1663,689,694,488,450,404,4247,214,1132,844
4013319402,4019,2133,1886,141,425,129,350,773,423,569,516,424,269,2261,168,1024,566
4013319403,4511,2335,2176,266,588,260,370,955,388,561,496,372,255,2414,158,1085,854
4013319404,3609,1709,1900,187,140,89,412,830,158,341,378,442,632,1811,107,1364,327
4013319500,6175,3630,2545,297,487,379,1172,1476,478,644,638,300,304,3705,136,1550,784
4013319600,6058,3287,2771,261,710,174,660,1452,631,803,493,530,344,3388,134,1565,971
4013319703,4516,2464,2052,274,294,234,531,906,551,407,422,443,454,2206,244,1498,568
4013319704,1556,899,657,98,156,53,274,320,232,159,145,101,18,851,70,381,254
4013319705,3445,1865,1580,187,555,209,373,476,612,442,368,124,99,1861,92,750,742
4013319706,5623,2748,2875,637,682,144,859,1486,508,743,338,131,95,3184,153,967,1319
4013319800,6423,3181,3242,414,733,351,1220,1309,732,418,770,307,169,3791,225,1260,1147
4013319902,2851,1464,1387,72,309,125,523,558,204,389,238,152,281,1587,65,818,381
4013319903,6579,3091,3488,197,967,383,784,1274,732,713,756,432,341,3930,157,1328,1164
4013319904,4956,2484,2472,277,437,173,320,816,555,743,748,629,258,2697,142,1403,714
4013319905,5388,2828,2560,145,657,449,455,777,850,703,717,352,283,3126,234,1226,802
4013319906,3294,1606,1688,178,389,173,298,477,337,376,555,337,174,1678,60,989,567
4013319907,2382,1142,1240,80,418,116,110,156,176,462,515,248,101,1286,33,565,498
4013319908,2322,1258,1064,196,295,89,191,392,347,236,316,181,79,1324,52,455,491
4013319909,2448,1156,1292,82,312,65,121,285,274,363,493,335,118,1305,77,672,394
4013319910,4894,2375,2519,160,758,276,331,394,693,1031,701,430,120,2761,130,1085,918
4013320001,7299,3717,3582,430,700,194,1238,1917,966,758,624,309,163,4531,261,1377,1130
4013320002,6172,2985,3187,491,1134,390,392,1032,677,716,671,372,297,2192,400,1955,1625
4013320007,7488,3681,3807,412,891,318,1045,2137,1047,662,705,252,19,4620,316,1249,1303
4013320100,2636,1478,1158,50,58,137,588,971,313,241,167,21,90,2030,66,432,108
4013420104,5548,2866,2682,222,654,261,274,690,670,819,546,779,633,2399,119,2154,876
4013420105,5580,2791,2789,445,710,223,369,460,769,815,1112,365,312,2801,208,1416,1155
4013420107,6442,3425,3017,211,887,304,340,490,762,1086,1074,724,564,3136,94,2114,1098
4013420108,1509,772,737,72,244,58,77,47,207,317,265,180,42,792,24,377,316
4013420109,4584,2242,2342,212,761,259,325,325,565,837,613,515,172,2258,86,1267,973
4013420110,5243,2688,2555,287,771,327,383,448,573,841,812,503,298,2298,196,1691,1058
4013420111,3892,1967,1925,300,446,296,123,590,464,844,455,275,99,1723,243,1180,746
4013420112,3189,1527,1662,255,486,97,204,408,532,529,323,241,114,1762,59,627,741
4013420113,3258,1484,1774,298,313,145,350,317,334,500,300,352,349,1212,213,1222,611
4013420114,3844,2078,1766,205,663,355,248,387,732,492,364,234,164,1562,185,1229,868
4013420115,2632,1342,1290,135,419,72,133,390,280,246,351,318,288,848,118,1112,554
4013420116,2706,1301,1405,28,289,127,55,148,170,423,349,590,527,804,100,1485,317
4013420202,5331,2319,3012,125,486,184,376,352,407,989,787,624,1001,2076,166,2478,611
4013420206,3401,1394,2007,103,224,40,30,198,183,217,478,593,1335,846,71,2157,327
4013420207,2730,1381,1349,56,261,135,56,77,276,497,607,439,326,1383,57,973,317
4013420208,5421,2776,2645,435,896,375,413,731,502,991,574,285,219,2600,177,1313,1331
4013420209,4344,1983,2361,178,512,178,43,358,294,520,678,714,869,1728,107,1819,690
4013420210,5447,2811,2636,395,661,242,261,729,450,904,740,544,521,2431,117,1843,1056
4013420211,4148,2048,2100,201,600,217,208,330,486,672,816,386,232,2088,108,1151,801
4013420212,2919,1350,1569,149,115,102,196,298,243,408,639,349,420,1393,40,1222,264
4013420213,2220,1053,1167,0,9,0,12,0,0,41,297,1089,772,229,0,1982,9
4013420214,3748,1785,1963,226,177,0,235,437,240,387,586,847,613,1376,143,1826,403
4013420215,1763,909,854,93,267,72,107,264,187,296,229,75,173,815,49,539,360
4013420216,4344,1859,2485,258,521,140,124,569,482,369,746,538,597,1637,156,1772,779
4013420301,2177,1050,1127,92,360,103,204,281,165,340,357,177,98,1098,104,523,452
4013420302,4985,2531,2454,327,739,400,388,616,405,615,802,371,322,2143,205,1571,1066
4013420303,4262,2049,2213,211,873,256,338,560,498,676,469,264,117,2055,93,1030,1084
4013420304,1330,672,658,28,263,89,79,125,102,241,169,125,109,524,47,468,291
4013420401,4328,2408,1920,482,655,151,455,773,616,477,356,246,117,1842,328,1021,1137
4013420402,2082,1057,1025,169,301,147,196,258,213,302,202,169,125,766,51,795,470
4013420501,6736,3137,3599,500,1428,300,561,1357,873,858,433,210,216,3271,168,1369,1928
4013420503,3606,1793,1813,383,596,120,249,583,597,455,382,158,83,1728,145,754,979
4013420504,3476,1670,1806,339,453,139,193,445,547,553,507,218,82,1840,106,738,792
4013420602,5133,2490,2643,309,724,428,433,778,462,720,591,523,165,2567,145,1388,1033
4013420603,4265,2081,2184,240,510,244,291,758,657,471,541,284,269,2303,119,1093,750
4013420604,4265,2103,2162,184,668,211,329,451,365,557,610,578,312,1978,88,1347,852
4013420704,5148,2576,2572,363,843,266,365,468,650,784,787,234,388,2607,173,1162,1206
4013420705,3609,1942,1667,36,773,321,248,279,328,784,397,317,126,1584,115,1101,809
4013420706,4487,2370,2117,257,857,273,346,706,476,628,590,256,98,2320,187,866,1114
4013420707,2496,1108,1388,72,60,75,239,263,61,91,417,718,500,880,101,1383,132
4013420708,3652,1612,2040,294,141,13,159,262,166,270,404,1258,685,968,12,2237,435
4013420709,3339,1484,1855,89,71,20,27,103,187,201,690,973,978,969,126,2084,160
4013420710,3757,1817,1940,282,427,69,254,681,337,333,515,333,526,1588,172,1288,709
4013420800,4793,2236,2557,607,797,161,268,798,591,545,499,328,199,2208,117,1064,1404
4013420901,3944,1899,2045,541,867,238,212,545,612,340,312,157,120,1506,183,847,1408
4013420902,3542,1839,1703,250,492,250,221,758,314,378,452,210,217,1741,111,948,742
4013421001,3997,1870,2127,204,553,91,210,739,395,422,397,331,655,1514,232,1494,757
4013421002,2771,1350,1421,216,294,178,245,519,259,224,216,331,289,1270,105,886,510
4013421101,4416,2301,2115,325,634,157,354,866,550,607,494,151,278,2385,168,904,959
4013421102,6688,3151,3537,826,1073,368,539,1019,1019,679,593,405,167,3060,206,1523,1899
4013421201,5207,3122,2085,343,354,203,1188,1334,903,337,320,112,113,3203,207,1100,697
4013421202,3883,1940,1943,300,582,140,284,708,633,412,416,273,135,1845,143,1013,882
4013421302,5736,2960,2776,223,994,289,455,1378,1085,562,445,179,126,2874,367,1278,1217
4013421303,5142,2762,2380,427,783,386,427,889,592,657,548,215,218,2444,161,1327,1210
