variable_names,hhtotals,hsize,hsize,hsize,hsize,hsize,hsize,hsize,hinc,hinc,hinc,hinc,hinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,
4013071512,1934,284,537,460,347,164,142,0,38,203,376,442,875
4013071513,550,34,266,132,78,26,9,5,20,29,110,106,285
4013071514,1482,346,467,271,228,116,54,0,37,171,489,282,503
4013071515,1515,472,647,191,141,58,6,0,79,290,499,282,365
4013071516,1786,1046,573,112,49,6,0,0,247,642,673,76,148
4013071517,1281,258,431,214,200,109,28,41,0,188,565,251,277
4013071600,1538,660,384,224,132,54,57,27,462,441,587,48,0
4013071701,838,155,231,115,206,45,23,63,40,158,346,167,127
4013071702,1918,1061,799,58,0,0,0,0,326,789,637,142,24
4013071801,2681,1367,1130,111,56,17,0,0,560,886,919,192,124
4013071802,2135,1020,1029,86,0,0,0,0,356,838,720,113,108
4013071903,2348,483,818,419,254,338,36,0,178,352,955,437,426
4013071906,1793,430,482,324,270,158,77,52,153,391,746,179,324
4013071909,1552,600,409,162,215,128,6,32,221,379,483,230,239
4013071910,2182,401,755,323,362,191,47,103,341,529,703,357,252
4013071911,1034,189,237,217,195,146,44,6,92,88,495,219,140
4013071912,1047,398,162,191,170,50,27,49,197,348,286,165,51
4013071913,1617,368,485,187,269,229,59,20,113,560,561,259,124
4013071914,924,127,268,189,133,125,60,22,56,213,433,115,107
4013071915,1249,410,387,145,136,104,0,67,115,408,473,162,91
4013082002,2077,396,700,337,253,198,167,26,152,433,1077,219,196
4013082007,1194,148,409,280,135,80,131,11,95,271,622,135,71
4013082008,1464,175,347,327,287,144,132,52,210,439,524,204,87
4013082009,1308,114,311,110,314,212,126,121,143,308,591,192,74
4013082010,1108,248,185,77,252,132,117,97,132,474,320,108,74
4013082012,1870,213,577,342,392,205,100,41,38,193,1039,330,270
4013082016,716,90,145,106,174,118,40,43,39,93,230,148,206
4013082017,1317,182,292,286,251,153,71,82,50,289,610,155,213
4013082018,1445,215,284,282,234,198,133,99,102,271,707,155,210
4013082019,895,156,276,223,130,86,22,2,36,67,317,158,317
4013082020,1377,147,608,299,256,55,0,12,80,121,454,258,464
4013082021,543,67,143,70,177,67,5,14,48,31,202,52,210
4013082022,1525,241,432,375,246,182,33,16,70,349,551,275,280
4013082023,1693,280,592,409,142,175,72,23,117,222,558,374,422
4013082024,1470,224,501,333,218,94,54,46,132,316,566,242,214
4013082025,747,127,164,134,200,61,34,27,58,70,321,161,137
4013082026,1846,468,502,332,214,215,89,26,161,330,735,286,334
4013082027,1315,212,319,252,291,156,47,38,76,247,602,180,210
4013082028,1257,206,316,322,216,51,107,39,131,316,589,150,71
4013082203,2475,114,482,471,651,360,350,47,155,125,1140,602,453
4013082204,1587,74,290,367,299,252,171,134,72,327,748,227,213
4013082205,1608,206,460,324,249,203,85,81,180,228,726,215,259
4013082206,905,67,140,137,239,168,70,84,55,106,386,133,225
4013082207,759,118,129,142,115,129,60,66,57,99,415,69,119
4013082208,756,125,132,132,143,120,56,48,119,154,315,85,83
4013082209,745,124,168,129,147,106,62,9,126,205,256,77,81
4013082210,1457,110,452,249,290,218,128,10,180,250,656,201,170
4013082211,1301,100,246,253,225,314,106,57,60,141,579,282,239
4013083000,2130,417,666,404,324,134,87,98,298,663,660,319,190
4013092305,1376,346,374,222,168,176,72,18,137,292,482,290,175
4013092306,2286,401,906,502,90,274,54,59,218,428,1135,124,381
4013092307,2231,729,639,221,371,99,32,140,477,408,724,256,366
4013092308,2351,785,570,389,289,232,5,81,316,598,842,366,229
4013092309,1961,533,649,237,279,96,93,74,304,324,650,229,454
4013092311,1113,546,237,113,83,38,46,50,395,386,245,27,60
4013092312,2249,1072,548,221,232,134,0,42,563,573,840,156,117
4013092401,1713,640,486,289,150,27,80,41,424,523,543,127,96
4013092402,1361,504,391,168,193,25,39,41,189,230,612,139,191
4013092500,1974,798,402,257,187,172,137,21,379,677,509,272,137
4013092600,1032,279,188,180,169,147,45,24,469,214,293,20,36
4013092705,1247,320,388,218,129,81,43,68,219,337,438,163,90
4013092708,625,115,177,107,145,50,14,17,37,151,190,96,151
4013092709,1373,262,440,239,285,76,11,60,120,371,505,158,219
4013092710,1451,258,547,224,285,69,54,14,74,221,598,236,322
4013092711,948,160,289,159,194,77,63,6,155,213,294,111,175
4013092712,1532,229,431,271,318,174,58,51,92,325,466,305,344
4013092713,1415,170,435,205,212,264,55,74,132,272,596,182,233
4013092715,1214,191,328,197,181,196,88,33,192,372,426,111,113
4013092716,1108,201,283,226,183,109,95,11,102,286,402,220,98
4013092717,1568,275,481,268,241,198,23,82,234,593,429,134,178
4013092718,1095,240,156,304,84,131,57,123,224,375,350,105,41
4013092719,1614,566,533,259,150,51,32,23,151,381,602,276,204
4013092720,1980,706,555,381,162,93,56,27,76,236,1007,267,394
4013092721,964,131,288,177,201,126,19,22,10,91,239,170,454
4013092723,1563,466,587,240,155,67,25,23,50,380,641,236,256
4013092724,1411,483,496,186,93,98,21,34,200,332,558,164,157
4013092801,1564,325,480,235,97,173,174,80,574,417,460,60,53
4013092802,1565,314,335,196,250,252,133,85,408,447,637,61,12
4013092900,948,304,227,107,119,79,57,55,331,341,202,59,15
4013093001,1816,648,469,232,155,94,155,63,381,627,563,161,84
4013093002,1321,228,374,208,102,219,87,103,320,438,370,133,60
4013093101,1707,616,472,151,76,128,155,109,381,695,495,45,91
4013093104,1629,429,407,379,140,191,57,26,457,679,412,25,56
4013093105,2078,756,435,283,199,231,63,111,535,946,437,74,86
4013093106,1190,166,310,228,201,133,63,89,314,348,450,55,23
4013093200,1217,468,287,223,60,96,43,40,274,497,371,18,57
4013103205,1018,148,452,186,153,57,8,14,41,64,261,149,503
4013103206,908,202,354,94,174,41,37,6,13,73,171,141,510
4013103207,891,102,399,199,122,61,8,0,28,54,213,172,424
4013103208,2140,834,994,175,61,76,0,0,106,384,794,260,596
