name,empl,empl,empl,empl,gqrtotals,gqtotals,hhrtotals,hhtotals,hinc,hinc,hinc,hinc,hinc,hsize,hsize,hsize,hsize,hsize,hsize,page,page,page,page,page,page,page,page,page,page,psex,psex,ptotals,rempl,rempl,rempl,rempl,rhinc,rhinc,rhinc,rhinc,rhinc,rhsize,rhsize,rhsize,rhsize,rhsize,rhsize,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpage,rpsex,rpsex,rptotals
categories,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,2.0,1.0
geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4013010101,1614.0,33.0,2444.0,596.0,,,2070.0,2070.0,45.0,224.0,584.0,256.0,961.0,291.0,1386.0,85.0,187.0,105.0,16.0,303.0,293.0,177.0,106.0,176.0,485.0,619.0,610.0,1125.0,793.0,2338.0,2349.0,4687.0,1614.0,33.0,2444.0,596.0,45.0,224.0,584.0,256.0,961.0,291.0,1386.0,85.0,187.0,105.0,16.0,303.0,293.0,177.0,106.0,176.0,485.0,619.0,610.0,1125.0,793.0,2338.0,2349.0,4687.0
4013010102,1600.0,69.0,2528.0,104.0,11.0,11.0,2092.0,2092.0,162.0,202.0,176.0,238.0,1314.0,128.0,1811.0,100.0,39.0,,14.0,31.0,73.0,95.0,27.0,67.0,148.0,552.0,1293.0,1650.0,365.0,2174.0,2127.0,4301.0,1600.0,69.0,2528.0,104.0,162.0,202.0,176.0,238.0,1314.0,128.0,1811.0,100.0,39.0,,14.0,31.0,73.0,95.0,27.0,67.0,148.0,552.0,1293.0,1650.0,365.0,2174.0,2127.0,4301.0
