rpsex,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
rpage,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
geo,,,,,,,,,,,,,,,,,,,,
4013010101,155,169,103,61,82,256,305,273,563,374,147,125,74,40,93,236,317,342,568,404
4013010102,18,39,65,15,33,83,266,626,860,169,13,34,30,12,34,67,286,665,790,196
